,accurate_pass,corners,fouls,goals,possession,red_card,result,shots_off_target,total_offside,total_pass,total_tackle,yellow_card
499,412,6,10,0,62.6,0,1,11,2,496,18,1
500,331,4,11,0,55.4,0,0,5,2,457,9,0
501,350,3,12,3,45.8,0,1,5,1,432,22,3
502,379,2,13,3,46.9,0,2,5,3,461,21,2
503,540,5,11,2,67.7,0,2,5,1,648,15,1
504,381,10,12,2,56.4,0,2,5,5,499,18,2
505,350,12,16,0,58.5,0,0,3,1,453,16,2
506,430,4,14,2,54.7,0,2,5,1,515,19,2
507,411,8,15,1,66.3,0,0,1,6,501,17,3
508,350,11,9,1,50.7,0,1,6,1,435,20,3
509,499,11,4,1,69.2,0,0,6,2,605,17,0
510,315,4,18,1,46.7,0,2,5,0,431,26,2
511,494,8,7,1,68.9,0,1,4,1,593,20,1
512,497,14,9,1,66.2,0,2,7,4,581,18,0
513,471,6,10,1,66.9,0,2,6,1,579,19,0
514,362,2,18,2,58.7,0,0,1,2,473,25,3
515,567,11,15,0,69.3,0,1,3,4,637,17,2
516,499,6,16,1,70.5,0,1,7,1,592,14,3
517,542,1,15,1,64.5,0,0,6,1,657,15,2
518,470,4,6,3,55.7,0,2,3,2,559,23,1
519,495,5,13,3,59.2,0,2,5,3,575,15,0
520,524,5,12,3,66.2,0,2,1,0,603,18,0
521,548,6,17,0,62.2,0,0,3,3,632,22,3
522,448,3,14,3,52.8,0,2,2,1,524,23,2
523,446,6,17,0,58.7,0,1,2,0,543,19,2
524,375,3,15,0,55.4,0,1,2,1,456,23,3
525,265,2,21,3,38.9,0,2,1,2,347,24,4
526,422,5,15,1,54.4,0,2,3,2,514,13,2
527,299,5,12,1,45.5,0,2,0,1,398,26,1
528,364,5,7,0,53.4,1,0,2,1,503,28,0
529,320,7,10,0,53,0,0,1,3,442,24,3
530,563,10,13,2,66.3,0,2,3,3,633,29,1
531,395,9,7,1,61.3,0,2,6,2,504,21,1
532,488,2,10,3,52.6,0,2,2,4,561,27,1
533,478,3,16,2,58.8,0,2,3,0,542,25,2
534,340,4,11,2,43.4,0,2,6,2,408,11,0
535,542,7,6,1,62.1,0,2,12,1,615,14,3
536,284,4,15,1,39.9,0,0,6,3,376,24,4
537,347,7,19,1,60.1,0,0,9,2,417,15,4
538,619,8,9,4,67.3,0,2,8,4,712,15,0
539,259,1,20,0,35.4,0,1,5,5,342,28,4
540,485,7,17,0,56.1,0,0,6,3,556,21,2
541,468,13,14,1,67.2,0,1,7,1,534,22,3
542,573,19,12,0,72.2,1,1,8,0,646,8,1
543,540,8,16,1,68.4,0,1,7,4,611,16,3
544,695,0,16,3,62.8,0,2,5,1,762,18,2
545,352,10,14,1,45.5,0,1,5,3,444,23,3
546,347,3,11,1,54.5,0,1,4,4,464,24,3
547,474,3,13,2,57.9,0,2,4,2,574,15,3
548,537,6,6,3,62.2,0,2,11,4,607,8,1
549,542,3,13,3,67.6,0,2,4,2,644,17,4
550,642,1,13,2,63.8,0,2,5,5,713,18,2
551,198,3,19,1,40.2,0,2,4,1,288,21,3
552,373,5,17,1,55.9,0,1,5,4,487,25,1
553,532,12,9,2,65.5,0,2,12,5,610,7,1
554,496,5,10,2,57.9,0,2,7,5,587,28,1
555,529,8,10,2,60.9,0,2,7,1,625,23,3
556,199,4,8,0,30.8,1,1,1,1,288,21,1
557,499,7,12,1,65.1,0,1,8,6,591,14,0
558,538,7,20,0,67.1,0,1,4,6,634,18,1
559,494,6,10,1,61.6,0,1,8,3,576,23,1
560,672,6,15,0,74.8,0,1,8,0,761,15,3
561,539,15,9,1,68.6,0,1,5,3,620,13,3
562,371,3,10,0,47.2,0,1,8,3,450,9,1
563,239,3,8,3,36.1,0,2,4,1,326,15,1
564,506,5,20,3,70.3,0,2,5,2,582,11,5
565,272,3,15,1,40,0,0,6,1,356,17,2
566,369,3,16,2,54.3,0,2,3,1,471,18,1
567,438,5,11,1,55.4,0,1,5,1,519,13,2
568,320,1,16,2,46.2,0,2,6,1,416,28,3
569,452,9,10,0,50,0,0,4,4,530,22,0
570,503,10,15,0,64.1,0,0,3,2,630,12,2
571,576,9,8,2,69.1,0,2,7,2,662,9,1
572,554,7,8,3,69.5,0,2,3,2,654,9,3
573,495,6,10,2,60.2,0,2,8,1,585,12,0
574,194,1,10,2,32.1,0,2,1,3,283,22,2
575,363,4,13,1,51.8,0,2,4,2,461,13,3
576,417,11,19,4,55.4,0,2,8,1,493,14,2
577,490,11,10,2,63.2,0,1,5,4,564,9,0
578,643,7,12,1,77.9,0,0,3,3,741,13,2
579,675,3,5,2,66.5,0,2,4,5,746,17,0
580,372,3,13,0,47.4,0,0,2,9,470,25,2
581,484,3,7,2,56.9,0,2,2,1,588,12,3
582,288,4,9,1,39.4,0,2,3,2,368,16,4
583,598,6,3,0,68.3,0,0,7,2,675,8,0
584,352,3,13,2,44.3,0,2,1,1,432,20,2
585,244,4,9,3,35.2,0,2,1,2,318,11,3
586,543,9,12,2,59.2,0,2,6,2,609,16,0
587,370,6,6,1,51.4,0,2,4,5,460,25,4
588,519,6,12,0,55.8,0,1,7,2,601,16,1
589,257,5,10,4,40.6,0,2,3,0,346,14,1
590,283,6,12,1,44.8,0,2,5,2,405,9,1
591,542,11,10,4,64.7,0,2,6,1,620,15,1
592,478,5,9,1,58.3,0,2,7,2,565,10,0
593,474,5,8,2,55.6,0,2,1,3,556,19,1
594,147,1,10,3,24.9,1,2,1,0,222,15,2
595,371,6,8,2,50.3,0,1,9,5,448,17,2
596,482,4,14,1,56.4,0,2,3,2,570,13,1
597,225,2,16,1,35.4,0,0,2,4,329,22,4
598,474,6,6,4,59.3,0,2,6,2,566,17,0
599,301,7,20,0,46,0,0,3,0,396,13,3
600,658,4,8,0,70.3,0,0,6,4,742,15,1
601,267,3,13,0,37.8,0,1,2,1,354,21,2
602,534,12,10,2,71.3,0,1,7,0,638,11,3
603,403,4,15,4,49.2,0,2,5,2,476,14,1
604,542,6,14,3,60.3,0,2,6,4,604,15,2
605,427,10,12,0,54.5,0,1,5,1,500,14,2
606,523,5,11,4,59,0,2,6,0,601,16,1
607,697,5,5,2,74.3,0,2,4,4,786,15,2
608,511,3,11,2,55.8,0,2,5,0,593,29,5
609,506,6,13,3,52.9,0,2,4,1,586,16,1
610,587,11,14,0,72.2,0,0,5,1,668,14,2
611,448,3,15,2,54.7,0,1,5,2,560,37,4
612,503,14,16,1,58.5,1,1,8,1,562,32,3
613,590,8,6,4,59.7,0,2,9,0,664,11,2
614,399,7,15,1,52,0,2,6,3,482,19,3
615,529,3,11,4,61.7,0,2,4,3,618,20,1
616,691,7,6,2,67.8,0,2,8,3,777,16,1
617,456,8,14,1,69.5,0,0,11,2,560,17,1
618,400,7,10,2,58.6,0,1,9,0,507,14,2
619,578,7,13,2,59.4,0,2,6,0,665,16,2
620,435,9,10,1,61.8,0,1,11,1,542,26,2
621,413,2,13,1,57.3,0,2,4,9,515,15,2
622,351,6,13,3,47.9,1,2,8,0,441,19,2
623,413,6,9,3,52.1,0,2,2,4,513,21,1
624,463,10,18,2,62.3,0,1,5,3,567,21,4
625,535,16,12,0,64.7,0,0,3,2,634,28,3
626,658,8,17,3,72.5,0,2,8,3,740,18,2
627,436,8,14,1,57.2,0,1,4,3,544,27,2
628,591,10,14,3,63.8,0,2,11,1,655,15,2
629,686,0,8,4,64.5,0,2,10,1,762,21,1
630,416,11,8,1,51.3,0,2,4,2,485,22,3
631,273,5,16,2,41.4,0,0,3,3,385,22,3
632,451,7,8,4,52.9,0,2,5,2,530,23,3
633,609,10,11,2,69.5,0,2,7,4,700,18,0
634,612,6,10,2,66.8,0,2,7,5,675,16,2
635,576,13,11,1,74.1,0,0,10,0,667,23,1
636,392,7,12,6,59.5,0,2,9,1,492,15,0
637,707,9,6,3,77.6,0,2,15,2,761,13,0
638,567,6,9,0,70.2,0,0,9,0,686,23,1
639,296,7,11,1,45,0,2,6,1,399,16,4
640,338,7,13,3,44.9,0,2,2,1,428,9,1
641,387,8,13,2,54.5,0,2,7,0,475,16,1
642,593,13,9,1,73.6,0,1,5,3,690,11,2
643,412,0,16,1,52,0,0,7,6,524,22,3
644,351,2,11,4,49.1,0,2,3,4,451,22,2
645,534,7,9,5,56.9,0,2,6,1,604,28,3
646,693,6,9,3,69.1,0,2,2,0,764,10,1
647,345,5,19,3,49.2,0,2,6,1,423,17,4
648,400,4,19,1,50,0,1,10,2,496,17,3
649,405,5,10,4,52.8,0,2,6,0,490,22,0
650,328,5,10,2,51.5,0,2,7,1,436,28,0
651,481,11,9,1,65.9,0,0,12,1,565,14,2
652,376,2,15,2,53.3,0,1,4,1,474,16,3
653,380,13,8,0,60.7,0,1,9,1,498,18,3
654,323,4,15,1,50.4,0,2,3,2,431,21,4
655,406,11,5,1,58.4,0,0,5,1,530,16,0
656,492,8,7,0,59.3,0,1,5,1,578,16,1
657,496,5,13,2,53,0,2,4,3,557,15,3
658,487,12,5,0,55,0,1,7,3,544,16,0
659,542,6,10,4,66.4,0,2,6,3,615,15,1
660,334,6,10,0,53.5,0,0,6,0,462,27,1
661,571,8,16,1,62.7,0,0,8,1,648,19,2
662,370,7,12,1,46,0,0,7,4,468,26,1
663,312,6,14,3,45.9,0,2,1,2,390,28,2
664,426,3,15,3,48.2,0,2,1,1,509,13,3
665,412,9,8,4,53.2,0,2,3,1,501,16,0
666,388,7,16,2,57.2,0,1,9,3,505,22,2
667,414,7,7,2,54.3,0,2,3,2,487,17,3
668,486,2,9,2,59.8,0,0,1,0,576,24,1
669,594,9,9,2,58.7,0,2,8,1,645,15,1
670,402,4,13,1,57.8,0,2,9,0,498,15,3
671,596,16,10,1,71.5,0,0,9,2,669,19,1
672,363,9,6,1,54,0,0,6,3,478,18,1
673,498,7,13,6,64.3,0,2,8,1,590,20,3
674,470,1,11,5,54.4,0,2,5,2,566,14,2
675,279,4,13,0,41.3,0,1,2,0,386,28,2
676,648,12,4,2,70.8,0,2,10,4,722,16,2
677,528,8,10,0,66.1,0,1,5,1,625,21,1
678,470,4,8,4,54.4,0,2,8,4,557,27,1
679,390,3,8,1,56.8,0,1,3,3,522,27,2
680,739,9,10,4,71.2,0,2,10,2,811,17,0
681,372,11,9,0,54.5,0,0,16,2,454,21,1
682,458,8,10,2,62.1,0,2,4,3,548,11,0
683,356,2,14,0,50.4,0,0,2,1,470,27,1
684,585,9,11,2,76.9,0,2,8,1,681,5,1
685,556,5,10,5,67.1,0,2,5,2,620,19,0
686,398,7,13,4,57.5,0,2,2,1,493,20,4
687,508,5,5,3,67.1,0,2,10,3,587,21,1
688,486,4,10,2,60.1,0,2,8,3,593,23,2
689,526,5,8,4,64.2,1,2,4,1,591,25,1
690,482,7,9,3,58.4,0,2,9,2,566,11,4
691,573,13,7,1,72.6,0,1,5,0,661,17,0
692,488,10,11,1,64.7,0,1,7,1,582,19,3
693,382,3,10,0,57.7,0,0,3,5,484,27,2
694,603,7,10,4,69.9,0,2,4,3,675,10,3
695,554,8,7,1,71,0,1,11,5,632,15,1
696,337,7,15,2,61.7,0,2,5,1,447,15,2
697,456,9,14,1,60.7,2,0,7,2,541,11,2
698,443,8,15,2,66.7,0,2,8,3,545,13,3
699,590,7,14,3,67.3,0,2,6,1,683,14,0
700,359,8,11,2,55,1,2,4,3,450,9,4
701,624,10,9,2,68.8,0,2,5,4,704,17,2
702,633,11,7,2,77.9,0,0,8,3,699,7,1
703,593,6,7,0,70.8,0,0,4,4,672,12,2
704,522,7,11,2,62.3,0,2,8,2,598,20,3
705,461,6,12,0,57,0,0,4,2,575,23,1
706,405,5,16,2,63.4,0,2,4,3,501,20,1
707,361,5,10,2,54.6,0,1,9,3,473,22,2
708,502,8,9,2,60.6,0,2,7,4,594,19,4
709,556,7,10,0,69.2,0,1,8,2,643,19,1
710,591,4,14,4,70.3,0,2,5,3,673,13,3
711,398,8,15,2,55.6,0,1,6,6,506,25,2
712,541,9,14,1,60.7,0,0,6,0,616,11,3
713,515,8,8,0,65.3,0,1,7,1,621,21,1
714,642,4,4,2,70.8,0,2,5,3,718,15,0
715,644,7,6,3,67.4,0,2,10,1,713,22,0
716,489,9,14,1,59.5,0,1,8,6,563,25,3
717,601,7,8,3,70.8,0,2,9,2,686,24,1
718,473,11,9,2,68.1,0,1,10,1,540,10,4
719,547,8,8,3,58.9,0,2,7,0,628,13,0
720,538,9,12,5,69.2,0,2,10,2,611,16,1
721,463,9,12,2,65.8,0,2,5,0,541,15,3
722,658,8,10,5,66.1,0,2,3,5,730,14,2
723,905,11,8,3,82,0,2,8,3,976,8,0
724,656,8,6,5,71.9,0,2,7,0,724,6,3
725,556,1,11,3,54.2,0,2,1,1,653,11,1
726,784,4,5,3,73.8,0,2,8,1,854,14,0
727,571,6,7,3,64.3,0,0,3,3,667,24,3
728,605,13,6,1,70.8,0,1,6,0,695,13,1
729,902,5,8,1,71.2,0,2,5,2,976,11,2
730,825,4,8,4,78.8,0,2,5,4,901,19,0
731,616,8,10,5,70.5,0,2,6,1,705,11,2
732,942,6,6,5,82.9,0,2,4,4,1015,14,0
733,516,8,17,2,64.8,0,0,9,0,596,11,6
734,843,2,7,3,78.3,0,2,8,1,929,16,3
735,705,7,10,2,74.7,0,2,6,1,784,13,1
736,614,9,10,3,74.3,0,2,7,0,695,16,1
737,506,12,10,1,69.7,0,2,5,2,583,13,2
738,578,8,13,1,61.9,0,2,6,0,653,19,2
739,370,5,13,4,52.9,0,2,7,4,456,18,2
740,784,9,8,3,76.7,0,2,8,1,854,14,1
741,544,5,15,3,58.2,0,2,2,3,624,18,1
742,763,5,6,4,78.5,0,2,10,1,834,17,0
743,426,7,12,3,52,0,2,5,1,511,14,4
744,807,7,11,4,75.4,0,2,7,1,876,15,1
745,664,10,5,2,77,0,2,5,2,753,22,2
746,642,7,10,2,79.5,0,2,7,3,733,21,3
747,668,6,12,2,74.3,0,2,8,1,778,16,1
748,630,10,9,0,79.2,0,1,10,1,720,14,0
749,502,8,10,2,64.6,0,2,3,0,606,18,2
750,814,5,5,7,79.3,0,2,9,2,892,12,0
751,550,8,11,0,74.5,0,1,4,2,626,14,4
752,691,10,9,2,78.2,0,2,5,1,768,10,2
753,461,7,7,1,65.4,1,1,9,0,560,12,1
754,723,4,10,3,77.4,0,2,4,1,803,9,2
755,524,5,14,2,70.2,1,2,7,3,604,13,4
756,576,11,6,6,67.4,0,2,10,0,637,19,0
757,736,8,6,1,78,0,2,12,4,824,15,0
758,723,18,5,3,80.5,0,2,10,4,799,23,0
759,762,10,8,2,77.1,0,2,8,4,847,16,0
760,386,5,10,1,53.4,1,2,2,0,482,19,0
761,619,7,12,4,65.5,0,2,6,1,686,24,0
762,478,7,14,0,60.4,0,0,4,3,559,17,0
763,515,5,14,2,62,0,1,4,1,593,30,1
764,418,9,12,0,61.8,0,0,4,0,512,13,2
765,201,5,16,1,31.4,0,1,2,2,279,23,6
766,449,10,9,1,66.9,0,0,8,1,556,26,2
767,287,4,9,1,38.3,1,0,4,2,377,19,2
768,528,9,9,2,72.7,0,2,8,1,613,14,1
769,413,9,11,2,59.9,0,2,6,1,510,19,3
770,346,5,20,1,60.5,1,0,7,1,431,27,3
771,274,10,15,1,46.2,0,2,3,6,360,20,2
772,426,6,14,1,58.4,0,0,3,1,536,18,3
773,344,1,14,2,50.4,0,2,4,3,457,20,2
774,326,9,17,2,46.5,0,2,3,0,422,26,4
775,314,3,15,2,38.6,0,2,4,2,384,23,5
776,249,3,11,0,48.4,0,1,3,1,374,26,2
777,486,6,14,2,64.8,0,2,8,3,567,21,1
778,495,9,9,2,65.2,0,2,11,2,613,21,1
779,522,6,9,0,61.3,0,0,7,2,604,31,1
780,325,5,14,5,46.2,0,2,2,1,425,30,3
781,501,2,11,0,67.6,0,1,8,1,605,29,1
782,393,2,10,0,48.4,0,0,2,4,476,20,1
783,460,5,8,4,65.8,0,2,5,1,573,24,2
784,421,3,5,0,60,0,1,8,3,537,18,0
785,429,6,10,2,55.7,0,2,3,0,524,18,3
786,447,3,13,3,61.1,0,2,3,5,544,21,4
787,368,9,11,0,57,0,0,9,5,468,19,3
788,554,6,14,3,61,0,2,4,2,631,20,1
789,343,8,12,0,55,1,0,3,1,431,11,0
790,383,8,6,0,55,0,0,11,2,488,20,3
791,521,5,8,1,59.6,0,2,4,4,624,15,2
792,497,3,10,2,63.8,0,1,2,2,603,20,3
793,307,7,17,2,50.6,0,0,3,1,411,24,6
794,377,10,8,2,56,0,2,10,6,482,21,3
795,337,5,12,2,62.5,0,2,6,3,454,24,2
796,526,3,13,3,62.8,0,2,7,1,615,16,1
797,421,7,6,2,64.8,0,1,12,2,519,28,0
798,391,2,12,0,50,0,0,2,2,487,26,3
799,407,4,15,2,53.2,0,1,2,3,500,16,2
800,493,8,6,1,61.5,0,0,7,1,551,21,2
801,278,7,9,2,49,0,2,4,2,383,20,1
802,458,6,10,1,64.6,0,1,2,1,559,15,2
803,391,4,14,0,57.7,0,1,2,2,497,15,4
804,432,4,6,3,61.3,0,2,4,3,530,21,0
805,521,11,8,4,66.6,0,2,9,1,621,18,0
806,319,8,9,3,54.2,0,2,9,0,426,24,2
807,436,10,12,3,63.9,0,2,6,2,533,17,2
808,454,15,12,1,65.9,0,2,9,2,555,14,0
809,289,6,17,1,45.1,0,1,7,3,383,22,1
810,410,3,13,2,62.5,0,2,7,1,525,12,2
811,392,7,13,4,55.8,0,2,5,3,484,21,2
812,364,6,13,1,58.3,0,0,7,2,477,18,2
813,505,4,11,1,59.2,0,1,4,1,599,18,2
814,358,16,13,0,61.7,0,0,5,2,454,14,1
815,463,1,17,2,54,0,2,2,1,564,33,3
816,428,9,4,3,59.8,0,2,3,3,533,18,1
817,457,9,8,1,66.5,0,1,8,1,537,19,0
818,440,7,14,1,65.2,0,1,9,0,523,11,4
819,500,10,8,1,69.8,0,0,9,1,586,14,0
820,314,3,12,4,48.8,0,2,13,1,396,24,0
821,327,8,20,2,52.7,0,1,5,0,408,23,9
822,372,6,20,0,49.9,0,1,8,3,440,25,4
823,327,8,12,1,56.1,0,2,6,0,411,26,1
824,358,6,9,1,57.1,0,2,6,3,436,32,1
825,291,5,17,4,46,0,2,3,5,407,28,5
826,408,6,19,2,54.4,0,1,4,0,483,17,4
827,304,8,15,0,48.5,0,1,4,2,407,41,1
828,403,5,15,5,54.2,0,2,2,5,490,24,1
829,410,9,11,1,57.8,0,1,7,1,520,17,0
830,349,7,11,2,57.2,0,2,13,3,450,11,2
831,317,9,10,2,51.8,0,1,7,2,423,30,2
832,520,4,11,3,62.8,0,2,8,3,601,20,0
833,475,8,6,2,62.5,0,2,6,2,574,21,0
834,368,3,11,0,65.1,0,0,6,2,502,32,3
835,281,2,10,3,47,0,2,7,3,395,27,3
836,384,6,14,1,57.5,0,1,4,0,483,18,0
837,520,3,5,7,65.3,0,2,3,0,600,14,0
838,353,11,19,1,56.9,0,2,9,2,440,29,3
839,306,5,11,1,49.3,0,1,5,2,419,22,3
840,426,8,18,4,60.3,0,2,4,0,510,8,2
841,546,14,7,1,73.7,0,2,15,0,613,16,1
842,452,10,9,2,58.4,0,2,7,3,550,15,1
843,540,8,10,1,71.5,0,1,3,3,601,11,2
844,451,4,15,0,61.6,0,1,6,3,543,18,4
845,248,4,20,2,42.3,0,2,4,8,348,23,2
846,405,8,11,1,64.1,0,1,11,2,493,11,3
847,395,2,17,1,54.3,0,1,7,1,522,15,2
848,511,4,13,3,66.9,0,2,4,2,595,15,3
849,401,11,10,2,60.2,0,2,12,0,482,16,1
850,491,5,11,5,60,0,2,7,3,575,16,0
851,371,8,16,1,54.1,0,0,5,3,459,22,1
852,521,10,16,4,65.7,0,2,7,0,622,29,4
853,334,1,9,2,45.5,0,2,6,2,440,24,3
854,494,11,8,1,65.2,0,2,6,5,583,20,0
855,333,8,17,0,59.8,0,0,4,0,429,22,3
856,297,3,14,0,49.1,0,0,4,1,421,20,5
857,588,8,11,4,72.9,0,2,7,1,670,22,0
858,480,3,6,4,66.2,0,2,11,3,578,22,0
859,588,5,6,3,63.4,0,2,6,2,670,6,0
860,287,4,7,2,45.4,0,1,3,5,399,19,4
861,504,8,11,4,64.3,0,2,7,1,588,11,2
862,468,12,13,0,71.6,0,1,4,3,557,11,0
863,467,7,6,2,61,0,2,6,1,573,12,0
864,558,7,8,3,71.8,0,2,5,4,642,20,1
865,492,11,15,1,68.9,0,2,8,0,593,24,3
866,367,7,9,3,51.5,0,2,5,2,462,15,1
867,436,7,12,4,58.7,0,2,5,1,501,23,0
868,341,5,12,2,50.5,0,2,2,2,456,13,3
869,432,8,14,2,60,0,2,5,2,530,18,1
870,476,4,8,6,62.7,0,2,11,2,561,17,1
871,331,14,7,2,51.2,0,2,6,2,416,14,1
872,582,13,8,4,68.8,0,2,1,3,655,13,0
873,447,7,9,0,67.6,0,0,4,0,571,17,2
874,628,7,10,2,73.1,0,2,5,1,702,16,2
875,501,14,14,1,67.7,0,0,6,0,592,14,4
876,274,3,2,4,36.2,0,2,5,1,359,22,0
877,408,3,8,5,57,0,2,7,1,493,12,0
878,566,13,5,1,76.2,0,2,6,1,662,14,1
879,558,7,10,1,70.7,0,1,9,3,669,19,0
880,579,12,12,5,70.8,0,2,6,7,657,18,1
881,432,6,10,2,52.6,0,2,9,1,527,26,2
882,329,2,8,1,49.5,1,1,4,10,404,21,1
883,419,4,10,3,59.6,0,2,5,1,527,9,2
884,436,4,16,0,57.9,0,0,8,1,549,12,1
885,593,5,9,2,67.7,0,2,5,2,675,21,2
886,452,7,4,4,59.5,0,2,5,2,558,16,1
887,518,9,12,0,73.8,0,0,7,0,615,13,1
888,293,3,20,3,51.1,1,2,7,5,394,19,2
889,394,3,14,0,55.2,0,0,5,1,509,11,0
890,613,9,9,1,72.9,0,2,4,3,688,19,1
891,327,1,20,1,47.1,0,0,4,2,412,17,4
892,479,4,11,2,61.5,0,2,6,3,557,19,1
893,601,8,10,1,72.5,0,1,10,2,689,15,1
894,454,3,8,2,66.7,0,2,5,3,550,15,3
895,393,4,9,5,64,0,2,5,2,480,20,1
896,371,5,11,1,48,0,0,1,5,464,22,3
897,459,6,10,1,62.9,0,2,3,4,551,12,2
898,663,10,5,2,75.1,0,2,6,3,749,15,1
899,465,9,10,1,62.6,0,0,9,1,561,19,2
900,491,10,6,1,68.4,0,2,6,3,583,20,0
901,537,5,5,1,64.1,0,1,5,0,634,10,0
902,435,5,11,3,51.3,0,2,3,3,528,20,1
903,473,7,9,2,65.9,0,1,2,2,590,16,1
904,465,5,7,4,63,0,2,1,3,559,22,1
905,411,10,13,1,49.9,0,2,11,1,494,14,2
906,367,3,14,3,49.3,0,2,6,3,458,13,1
907,674,11,11,0,74.9,0,1,14,0,757,14,1
908,503,10,9,1,67.3,0,1,6,1,588,9,0
909,701,8,6,2,74.5,0,2,3,4,806,10,1
910,407,9,15,1,58.9,0,1,10,1,491,16,3
911,484,3,11,4,61.5,0,2,6,2,579,18,0
